_家地_,英文名_,__,夏令__,__
朝_,Democratic People's Republic of Korea,UTC +9:00,--,
_帝汶,Democratic Republic of East Timor,UTC +9:00,--,
斯里_卡,Democratic Socialist Republic of Sri Lanka,UTC +5:30,--,
尼泊_,Federal Democratic Republic of Nepal,UTC +5:45,--,
_治_,Georgia,UTC +4:00,--,
_旦,Hashemite Kingdom of Jordan,UTC +2:00,UTC +3:00,
香港,Hong Kong Special,UTC +8:00,--,
印尼-中部,Indonesia-Central (CST),UTC +8:00,--,中部 (_拉威西Sulawesi、巴里_Bali、西努沙登加拉Nusa Tenggara Barat、_努沙登加拉Nusa Tenggara Barat、_加里曼丹Kota Samarinda、南加里曼丹Kalimantan Utara)
印尼-_部,Indonesia-Eastern (KST),UTC +9:00,--,_部 (__古、北__古、巴布_、西巴布_)
印尼-西部,Indonesia-Western,UTC +7:00,--,西部 (____Sumatera、爪哇Java、西加里曼丹Kalimantan Barat、中加里曼丹Kalimantan Tengah)
阿富汗,Islamic Republic of Afghanistan,UTC +4:30,--,
伊朗,Islamic Republic of Iran,UTC +3:30,--,
巴基斯坦,Islamic Republic of Pakistan,UTC +5:00,--,
日本,Japan,UTC +9:00,--,
巴林,Kingdom of Bahrain,UTC +3:00,--,
不丹,Kingdom of Bhutan,UTC +6:00,--,
柬埔寨,Kingdom of Cambodia,UTC +7:00,--,
沙_地阿拉伯,Kingdom of Saudi Arabia,UTC +3:00,--,
泰_,Kingdom of Thailand,UTC +7:00,--,
吉_吉斯,Kyrgyz Republic,UTC +6:00,--,
寮_,Lao People's Democratic Republic,UTC +7:00,--,
黎巴嫩,Lebanese Republic,UTC +2:00,UTC +3:00,
澳_,Macau Special Administrative Regio,UTC +8:00,--,
__西_,Malaysia,UTC +8:00,--,
蒙古_,Mongolia,UTC +7:00,UTC +8:00,科布多省、_布_省、巴__列_省
孟加拉,People's Republic of Bangladesh,UTC +6:00,--,
中_,People's Republic of China,UTC +8:00,--,
_美尼_,Republic of Armenia,UTC +4:00,UTC +5:00,
_塞拜然,Republic of Azerbaijan,UTC +4:00,UTC +5:00,
印度,Republic of India,UTC +5:30,--,
伊拉克,Republic of Iraq,UTC +3:00,UTC +4:00,
哈_克-_部,Republic of Kazakhstan-Eastern,UTC +6:00,--,_部
哈_克-西部,Republic of Kazakhstan-Western,UTC +5:00,--,西部
__,Republic of Korea,UTC +9:00,--,
__地夫,Republic of Maldives,UTC +5:00,--,
新加坡,Republic of Singapore,UTC +8:00,--,
塔吉克,Republic of Tajikistan,UTC +5:00,--,
菲律_,Republic of the Philippines,UTC +8:00,--,
_甸,Republic of The Union of Myanmar,UTC +6:30,--,
___克,Republic of Uzbekistan,UTC +5:00,--,
__,Republic of Yemen,UTC +3:00,--,
越南,Socialist Republic of Vietnam,UTC +7:00,--,
汶_,State of Brunei Darussalam,UTC +8:00,--,
以色列,State of Israel,UTC +2:00,UTC +3:00,
科威特,State of Kuwait,UTC +3:00,--,
巴勒斯坦,State of Palestine,UTC +2:00,UTC +3:00,
卡_,State of Qatar,UTC +3:00,--,
阿曼,Sultanate of Oman,UTC +4:00,--,
_利_,Syrian Arab Republic,UTC +2:00,UTC +3:00,
台澎金_,Taiwan,UTC +8:00,--,
土_曼,Turkmenistan,UTC +5:00,--,
阿拉伯_合大公_,United Arab Emirates,UTC +3:00,--,
